"id_str","time_UTC","time_East_US","local_hour","afinn_score","bing_positive","bing_negative","bing_nett"
650071739356041216,2015-10-02 22:15:55,2015-10-02 18:15:55,18,2.33333333333333,3,0,3
650075854400303104,2015-10-02 22:32:16,2015-10-02 18:32:16,18,3.5,2,0,2
650432676097302528,2015-10-03 22:10:09,2015-10-03 18:10:09,18,3.33333333333333,3,0,3
650433218383081472,2015-10-03 22:12:18,2015-10-03 18:12:18,18,2,1,0,1
650433358472847360,2015-10-03 22:12:51,2015-10-03 18:12:51,18,2,1,0,1
651841923670536192,2015-10-07 19:29:59,2015-10-07 15:29:59,15,3,3,0,3
652241959860477952,2015-10-08 21:59:35,2015-10-08 17:59:35,17,-1,1,0,1
652242093881040896,2015-10-08 22:00:07,2015-10-08 18:00:07,18,2.66666666666667,3,0,3
652269674202288128,2015-10-08 23:49:43,2015-10-08 19:49:43,19,-0.666666666666667,3,3,0
652918158672678912,2015-10-10 18:46:34,2015-10-10 14:46:34,14,2,NA,NA,NA
652919499885268992,2015-10-10 18:51:54,2015-10-10 14:51:54,14,2.5,2,0,2
652924225217515520,2015-10-10 19:10:40,2015-10-10 15:10:40,15,3.5,3,0,3
652924367492485120,2015-10-10 19:11:14,2015-10-10 15:11:14,15,3,2,0,2
652924519913529344,2015-10-10 19:11:50,2015-10-10 15:11:50,15,2,1,0,1
652925150942392320,2015-10-10 19:14:21,2015-10-10 15:14:21,15,3,2,0,2
652926140148006912,2015-10-10 19:18:17,2015-10-10 15:18:17,15,NA,1,0,1
653687642706583552,2015-10-12 21:44:13,2015-10-12 17:44:13,17,2,1,0,1
655133186725408768,2015-10-16 21:28:18,2015-10-16 17:28:18,17,3,1,0,1
655188360449925120,2015-10-17 01:07:32,2015-10-16 21:07:32,21,2,2,0,2
655193907031056384,2015-10-17 01:29:35,2015-10-16 21:29:35,21,-1.33333333333333,0,1,-1
655194304479109120,2015-10-17 01:31:09,2015-10-16 21:31:09,21,1.5,1,0,1
655393558984290304,2015-10-17 14:42:55,2015-10-17 10:42:55,10,2.33333333333333,3,0,3
655394746630844416,2015-10-17 14:47:38,2015-10-17 10:47:38,10,-1,NA,NA,NA
655413356694761472,2015-10-17 16:01:35,2015-10-17 12:01:35,12,NA,1,0,1
655502231719006208,2015-10-17 21:54:45,2015-10-17 17:54:45,17,NA,1,0,1
655502360744185856,2015-10-17 21:55:16,2015-10-17 17:55:16,17,3,2,0,2
655579595949871104,2015-10-18 03:02:10,2015-10-17 23:02:10,23,3,2,0,2
656258688970264576,2015-10-20 00:00:38,2015-10-19 20:00:38,20,2,NA,NA,NA
658005071188348928,2015-10-24 19:40:08,2015-10-24 15:40:08,15,2.5,2,0,2
658005322708164608,2015-10-24 19:41:08,2015-10-24 15:41:08,15,3.5,2,0,2
658020812620984320,2015-10-24 20:42:41,2015-10-24 16:42:41,16,-3,1,2,-1
658020994506997760,2015-10-24 20:43:25,2015-10-24 16:43:25,16,NA,1,0,1
658021218847715328,2015-10-24 20:44:18,2015-10-24 16:44:18,16,-2,0,1,-1
658425734424363008,2015-10-25 23:31:42,2015-10-25 19:31:42,19,NA,1,0,1
659124101014007808,2015-10-27 21:46:46,2015-10-27 17:46:46,17,4,1,0,1
659199556744118272,2015-10-28 02:46:36,2015-10-27 22:46:36,22,3,2,0,2
659203832128274432,2015-10-28 03:03:35,2015-10-27 23:03:35,23,2.5,2,0,2
